"companyName","jobTitle","question","answer","date"
"Innovid","Data Science Team Lead","Q: Related with Generic Code and Core Statistics and ML concepts.","Going back on my brain to my academic times.","12 de oct. de 2021"
"Tiendanube","Data Engineer","Que cambio estas buscando? Por qué? Expectativas?","","21 de sep. de 2021"
"MURAL CA","Data Analyst","Experiencia con SQL y Python","","20 de sep. de 2021"
"ExxonMobil","Data Analyst","Qué estudie, si tengo conocimientos en contaduría, donde trabaje previamente, que herramientas de IT uso.","","14 de ago. de 2021"
"IBM","Data Analyst","Preguntas estándar sobre objetivos y capacitación","","13 de jul. de 2021"
"Innovid","Data Scientist","Describe the chain rule with 3 parameters","","12 de jul. de 2021"
"DISQO","Data Engineer","During the online interview, they just asked me about my experience in previous roles","I talked about my previous jobs","25 de jun. de 2021"
"Accenture","Data Engineer","Como me sentiria en el rol? Si me sentiria comoda coacheando a programadores junior?","","25 de jun. de 2021"
"CoreBI","Data Scientist","conocimientos previos, gustos y personalidad.","","25 de jun. de 2021"
"Nielsen","Junior Data Analyst","Que programas de programación sabía usar y en que ocasiones los había implementado","","22 de jun. de 2021"
"VTEX"," ","The technical interview consisted in two parts. The first one was generating various visualizations from a dataset. The second one was performing an API request.","","18 de jun. de 2021"
"Avature","Data Analyst","Cómo me sentiría trabajando en una empresa que funciona como una pyme siento que vengo de multinacionales.","","15 de jun. de 2021"
"Grupo Newsan","analista de datos","Porque me interesaba el cargo, mi experiencia en el área.","","18 de may. de 2021"
"Alexander Mann Solutions","Big Data Engineer","Como te ves en 10 años ?","","2 de may. de 2021"
"Nielsen","Sr Data Analyst","Como se comporta el modelo de Regresion Lineal y KKN?","","26 de abr. de 2021"
"Globant","Data Analyst","Que cambio implementaste en tu último trabajo? Como lo conseguiste? Mejoro la dinámica de trabajo?","","15 de abr. de 2021"
"IBM","Data Analyst","Que es el patrimonio neto ?","","6 de abr. de 2021"
"Datalytics","Data Engineer","Definir DW, Datalake, modelos de DW.","","31 de mar. de 2021"
"Tiendanube","Data Scientist","- Instancia técnica con problemas de análisis y problem solving - Instancia de fit cultural","","26 de mar. de 2021"
"Ualá","Data Scientist","Por qué elegí Ualá como posible destino?","","18 de mar. de 2021"
"Ualá","Data Scientist","Qué librerías para el armado de modelo de datos en Python conoces?","","18 de mar. de 2021"
"Linde","Data Scientist","- Métricas de Accuracy (Las cuales no aclararon que querían eso en el enunciado). - Sugerencias para mejorar el modelo y la asignación.","","14 de mar. de 2021"
