"companyName","jobTitle","question","answer","date"
"J P Morgan","Data Scientist","Got asked a lot of questions about the regression projects on my resume, and multiple basic statistical questions; Did not have any coding test.","","Oct 17, 2021"
"RHOMBUS POWER","Data Scientist","For on-site interview, it was related to a regex question.","","Oct 15, 2021"
"Cempra Pharmaceuticals","Data Scientist","Why are the goals that brought you here?","Fairly, honestly","Oct 15, 2021"
"C3 AI","Data Scientist","How does a Res-Net look like? Whats a common issue with ResNets? How do you normalize in Computer Vision DL models?","","Oct 15, 2021"
"Houzz","Data Scientist","SQL questions Probabilities Case study around a/b testing, product metrics Past experiences","","Oct 15, 2021"
"Washington University in St Louis","Data Analyst","What was something about the job description that attracted you to apply to this position?","","Oct 15, 2021"
"Boulder County","Data Analyst","Most questions were just your standard interview questions, like, ""Why do you want to work at ?"" and such. One question that I did like was when the Assessor asked me to explain a relational database to someone that knows nothing about relational databases.","I answered this question by using an example of a crime investigation where the crime was the fact table and the different details of the crime were the relational dimension tables related to the crime; such as, when the crime occurred, where the crime occurred, description of the assailant, description of the victim, and such.","Oct 15, 2021"
"Roku","Data Analyst","Riddle questions to assess your critical thinking with less than 5 minutes left in your interview.","","Oct 15, 2021"
"Uber","Data Scientist Intern","first 20 minutes consist of an easy algorithm question, the rest is answering about a specific data challenge (no coding)","","Oct 14, 2021"
"DraftKings","Business Data Analyst","Not allowed to disclose. Pretty basic interview questions.","","Oct 14, 2021"
"DraftKings","Business Data Analyst","Not allowed to disclose. Pretty basic interview questions.","","Oct 14, 2021"
"Farmers Insurance Group","Data Analyst","What variables would you use to determine the price of an auto policy?","Age, location, gender, # of vehicles, # of priors, etc.","Oct 14, 2021"
"CVS Health","Data Scientist","Sql Multiple choices (statistics) Python","","Oct 14, 2021"
"CarMax","Data Analyst","What are projects you've worked on","","Oct 14, 2021"
"Education at Work","Data Analyst","What is your strength? Introduce yourself.","","Oct 13, 2021"
"Plume Design","Senior Data Scientist","Questions on Python (easy) and SQL. Basic questions on ML","","Oct 13, 2021"
"IQVIA","Data Scientist","promoting two kinds of vaccines","","Oct 13, 2021"
"Robinhood","Data Science Analyst","Generic product and A/B testing question","","Oct 13, 2021"
"Robinhood","Data Science Analyst","3 SQL questions. One required joining, group by, having statement","","Oct 13, 2021"
"Robinhood","Data Science Analyst","Basic predictive ML problem asdf","","Oct 13, 2021"
"Robinhood","Data Science Analyst","Basic probability (think of coin flip/passing on gene question)","","Oct 13, 2021"
"E thac Solutions","Data Analyst Interview","Fale de si, dos pontos fortes, pontos fracos. Porque se interessou na vaga","Sou uma pessoa com fortes pontencias, habilidades, estou atras de desafios.","Oct 13, 2021"
"Better Place Forests","Lead Data Engineer","Talked lots about background and experience. Lots of questions around Snowflake's architecture.","","Oct 13, 2021"
"Morgan Stanley","Business and Data Analyst","One time you disagreed with someone","I talked about a project experience and how i improved jt","Oct 12, 2021"
"FieldEdge","Data Analyst","Q: What made you interested in FieldEdge and/or what about the company culture excited you?","","Oct 12, 2021"
"Lumen","Data Analyst Summer","Time where you worked in a group","","Oct 11, 2021"
"Taulia","Data Engineer","Virtual interview questions were very basic python tasks around data structures like lists and hashmap. Also had technical design/discussion sessions around databases, scaling, etc","","Oct 11, 2021"
"Goldman Sachs","Data Scientist","Questions based on resume and why do you want to leave your current job?","","Oct 11, 2021"
"Goldman Sachs","Data Scientist","Questions on data cleaning, overfitting, performance (accuracy, precision, recall, F-1), language models, regularization etc.","","Oct 11, 2021"
"Goldman Sachs","Data Scientist","Build a classifier to classify customers based on their credit worthiness (excellent, good, poor, 1 more label)","Had 45 minutes to build a classifier. It had terrible accuracy, barely better than random (25% for 4 classes), but I was able to answer follow-up questions on my decisions, so it was ok.","Oct 11, 2021"
"Goldman Sachs","Data Scientist","LC easy - Binary search question","","Oct 11, 2021"
"IBM","Data Science","Normal data analysis questions, predictive modeling.","","Oct 11, 2021"
"Google","Data Scientist","standard stats and behavior and product sense.","can you please describe what were the coding questions?","Oct 11, 2021"
"Facebook","Data Scientist","xxx in fb goes up by 10%, and xx goes down by 5%, what might be the reason?","it might be guardrail effect. For instance, we double the ads in newsfeed. Although the revenue goes up 10%, the user engagement (sharing, posting etc) were negatively impacted more ads and therefore the engagement was down 5%.","Oct 11, 2021"
"Blue Yonder","Data Science Consultant","Questions on EDA and basic ML.","","Oct 11, 2021"
"Centurion Health","Data Analyst","Tell me about your background","","Oct 10, 2021"
"Xaxis","Data Analyst","Tell me about your recent work background?","","Oct 10, 2021"
"Target","Senior Data Analyst","1. Tell me about a time you faced a complex problem.","","Oct 9, 2021"
"Citcon","Data Analyst","1. experience SQL? Python? 2. experience with CRM system 3. questions about the projects on my resume","","Oct 8, 2021"
"Alibaba Group","Data Scientist","What are the clustering techniques that you are familiar with","","Oct 8, 2021"
"Progressive Leasing","Data Analyst II","How do you decide what variables to include in a model?","","Oct 8, 2021"
"Progressive Leasing","Data Analyst II","What is the third condition of a vlookup?","","Oct 8, 2021"
"J D Power"," ","Why work at J.D. Powers w/ calculation question.","","Oct 8, 2021"
"Cox Automotive","Data Engineer","SQL, AWS, my experience on previous projects","","Oct 8, 2021"
"Blackstone","Data Analyst","Can you tell me about a time when you demonstrated leadership skills?","","Oct 8, 2021"
"Better com","Data Engineer","Not allowed to share due to disclosure agreement.","","Oct 8, 2021"
"Akamai","Data Science Intern","How to identify outliers in a dataset?","Varies from as simple as eyeballing a boxplot or scatterplot to using methods like calculating IQR","Oct 7, 2021"
"Johns Hopkins University Applied Physics Laboratory","Data Scientist","How would you use an ontology in an ML system for using images to identify people who needed rescuing?","","Oct 7, 2021"
"Johns Hopkins University Applied Physics Laboratory","Data Scientist","Describe a time where you had to deal with a group conflict.","","Oct 7, 2021"
"Johns Hopkins University Applied Physics Laboratory","Data Scientist","Can you give an example of an AI system that was supposed to be beneficial but ended up being used for harm?","Deepfake","Oct 7, 2021"
"Johns Hopkins University Applied Physics Laboratory","Data Scientist","How would you design an ML system for textual data? How would you change your design to account for extracting noun phrases?","","Oct 7, 2021"
"Johns Hopkins University Applied Physics Laboratory","Data Scientist","Describing my thesis in detail","","Oct 7, 2021"
"Liberty Mutual Insurance","Data Analyst Intern","Describe a project related to generalized linear models that you have done before.","","Oct 7, 2021"
"Upwork","Data Analyst","What metrics would you use to measure if there was a fraud risk?","","Oct 7, 2021"
"Veeva Systems","Marketing Data Analyst","Why do you want to work in the health care space?","Health care is the final frontier of data analytics. And the solutions to that challenge that Veeva is coming up with through their Crossix Analytics department is unique and exciting.","Oct 6, 2021"
"Hydrow","Data Analyst Internship","What is your experience with Data Analytics?","","Oct 6, 2021"
"Tinder","Data Scientist II","Take home assessment and experience based questions. You’re not getting more than that ;p","","Oct 6, 2021"
"Reli Group","Data Analyst","Questions ranged from experience with multiple stakeholders to experience with tools to be used on the project. Also included questions containing strengths, weaknesses, difficult scenarios and the like. Nothing too specific outside of the project's objectives.","In typical fashion; however, specificity was used when needed to explain difficult situations with external stakeholders and the like.","Oct 6, 2021"
"Naval Sea Systems Command"," ","Describe a Data Analytics related project you completed and your role.","","Oct 6, 2021"
"Naval Sea Systems Command"," ","What is your favorite and least favorite aspect of Data Analytics?","","Oct 6, 2021"
"Siemens Healthineers"," ","Machine learning concepts and on SQL","","Oct 6, 2021"
"BD","Data Analyst","Why you intresting in BD Group","","Oct 6, 2021"
"Amazon","Data Engineer","Describe the data pipeline you had worked","","Oct 6, 2021"
"Amazon","Data Scientist","Some questions can also be presented in the form of a simple case exercise such as how would you process a dataset for training and how would you decide what model to use. Interviewers at all rounds will always ask follow-up questions to your answers so if you suggest an idea or approach, be sure you are familiar with it. They may also ask you about keywords you wrote on your resume. For example, if you wrote “GANs” somewhere on your resume, don’t be surprised if they ask you to explain GANs to them in detail with a bunch of follow-up questions. Make sure you brush up on fundamentals of ML and statistics Science Case study Describe how you will generate your dataset: how you will select an unbiased sample, deal with class imbalance, consider temporal effects. How will you split into train/val/test? I follow this website: https://mlengineer.io/","I followed this structure when approaching the problem and the discussion went very well: i. Repeat and clarify the initial problem statement to the interviewer. ii. Define the metrics (if applicable, define both online and offline metrics) that you will use to measure the success of your proposed solution. iii. Describe what features you will consider for building your model(s) and how you will engineer them. iv. Describe how you will generate your dataset: how you will select an unbiased sample, deal with class imbalance, consider temporal effects. How will you split into train/val/test? v. After you train your model, discuss how you will backtest before deployment. vi. Last step is discussing how you will monitor real-time performance.","Oct 5, 2021"
"McKinsey and Company","Data Analyst Intern","Write an email to your supervisor when a conflict occurred in your team.","","Oct 5, 2021"
"USAA","Data Analyst","They presented me with a data frame and asked me technical questions about it. You should know how to manipulate data. They also asked me some questions about different types of regression so familiarize yourself with that.","I feel confident about three of my four answers but one of the questions I did not know the answer to.","Oct 5, 2021"
"Square","Data Science Lead","Should you continue with subscription trial of a new product?","","Oct 5, 2021"
"Managed Markets Insight and Technology","Data Analyst","What is in an instance where you did not know how to do something at work, and how did you obtain that information?","I explained the proper channels to reach out to.","Oct 5, 2021"
"Riot Games","Data Science Intern","What is the variance of","","Oct 5, 2021"
"STRATACACHE","Data Scientist","Very unintelligent questions that provide no relevant questions about the job compatibility. - What is your longterm goal (read the room please, covid is changing everyone's life and you wanted to know about my long term goal???) - Why did you decide to apply for this job? What made you interested in the company? (I am not totally interested to be honest. Your job is to give me more information and make your company as well as the job attractive)","","Oct 5, 2021"
"Infosys","Data Scientist","What is classification vs regression? What is stemming, lemmatization in NLP? Semantic Extraction","","Oct 5, 2021"
